1,#LOVE,"2,000,000,000"
2,#INSTAGOOD,"1,276,000,000"
3,#FASHION,"908,000,000"
4,#PHOTOOFTHEDAY,"879,000,000"
5,#ART,"746,000,000"
6,#BEAUTIFUL,"714,000,000"
7,#PHOTOGRAPHY,"693,000,000"
8,#PICOFTHEDAY,"623,000,000"
9,#FOLLOW,"617,000,000"
10,#HAPPY,"615,000,000"
11,#CUTE,"606,000,000"
12,#NATURE,"592,000,000"
13,#INSTAGRAM,"586,000,000"
14,#TBT,"559,000,000"
15,#FOLLOWME,"557,000,000"
16,#TRAVEL,"539,000,000"
17,#LIKE4LIKE,"528,000,000"
18,#STYLE,"524,000,000"
19,#REPOST,"509,000,000"
20,#INSTADAILY,"491,000,000"
21,#SUMMER,"486,000,000"
22,#SELFIE,"440,000,000"
23,#ME,"438,000,000"
24,#FITNESS,"429,000,000"
25,#BEAUTY,"426,000,000"
26,#FOOD,"425,000,000"
27,#GIRL,"417,000,000"
28,#FRIENDS,"413,000,000"
29,#FUN,"407,000,000"
30,#INSTALIKE,"405,000,000"
